agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,1000,502,498,0,50.2,3.1,79.5,4.038
GA-Expert,LOOK,1000,484,516,0,48.4,3.1,85.2,3.463
GA-Expert,LOOK-A3-simple-stack,1000,490,510,0,49.0,3.1,83.4,3.475
GA-Expert,LOOK-my-eval,1000,652,348,0,65.2,3.0,79.7,3.124
GA-Expert,LOOK-no-LA,1000,488,512,0,48.8,3.1,82.1,2.224
GA-Original,LOOK,1000,431,569,0,43.1,3.1,89.2,3.474
GA-Original,LOOK-A3-simple-stack,1000,459,541,0,45.9,3.1,87.2,3.526
GA-Original,LOOK-my-eval,1000,662,338,0,66.2,2.9,82.1,3.013
GA-Original,LOOK-no-LA,1000,528,472,0,52.8,3.1,87.1,2.176
LOOK,LOOK-A3-simple-stack,1000,464,536,0,46.4,3.1,95.4,1.131
LOOK,LOOK-my-eval,1000,686,314,0,68.6,2.9,86.4,0.668
LOOK,LOOK-no-LA,1000,586,414,0,58.6,3.1,96.2,0.619
LOOK-A3-simple-stack,LOOK-my-eval,1000,725,275,0,72.5,2.8,82.9,0.64
LOOK-A3-simple-stack,LOOK-no-LA,1000,586,414,0,58.6,3.1,90.8,0.678
LOOK-my-eval,LOOK-no-LA,1000,388,612,0,38.8,3.0,88.3,0.221
