agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,1000,479,521,0,47.9,3.1,101.0,5.198
GA-Expert,LOOK,1000,447,553,0,44.7,3.1,110.7,4.812
GA-Expert,LOOK-A3-simple-stack,1000,442,558,0,44.2,3.1,105.7,5.368
GA-Expert,LOOK-my-eval,1000,703,297,0,70.3,2.8,96.0,2.985
GA-Expert,LOOK-no-LA,1000,489,511,0,48.9,3.1,102.4,2.741
GA-Original,LOOK,1000,407,592,1,40.7,3.0,113.1,5.327
GA-Original,LOOK-A3-simple-stack,1000,410,590,0,41.0,3.0,110.3,5.237
GA-Original,LOOK-my-eval,1000,692,308,0,69.2,2.9,99.9,3.492
GA-Original,LOOK-no-LA,1000,543,457,0,54.3,3.1,107.9,2.526
LOOK,LOOK-A3-simple-stack,1000,474,526,0,47.4,3.1,120.4,2.463
LOOK,LOOK-my-eval,1000,734,266,0,73.4,2.7,103.5,1.397
LOOK,LOOK-no-LA,1000,625,373,2,62.5,3.0,120.6,1.22
LOOK-A3-simple-stack,LOOK-my-eval,1000,731,268,1,73.1,2.7,101.1,1.276
LOOK-A3-simple-stack,LOOK-no-LA,1000,614,386,0,61.4,3.0,112.1,1.403
LOOK-my-eval,LOOK-no-LA,1000,354,645,1,35.4,3.0,104.2,0.382
