agent,n_decisions,soldier_set_pct,soldier_set_ci_95,strict_pct,first_match_pct,mean_jaccard
LOOK,342,51.8,5.3,48.0,59.6,0.609
LOOK-no-enum,342,51.8,5.3,48.2,59.1,0.602
PSA,342,51.2,5.3,48.0,61.4,0.599
GA-Expert,342,50.9,5.3,48.5,59.9,0.61
LOOK-no-LA,342,48.0,5.3,45.6,54.1,0.578
GA-Original,342,46.5,5.3,43.3,58.2,0.573
Random,342,26.6,4.7,24.3,35.1,0.377
