agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,1000,444,556,0,44.4,3.1,66.4,4.043
GA-Expert,LOOK,1000,478,522,0,47.8,3.1,68.9,2.399
GA-Expert,LOOK-A3-simple-stack,1000,472,528,0,47.2,3.1,68.1,2.352
GA-Expert,LOOK-my-eval,1000,657,343,0,65.7,2.9,65.3,2.269
GA-Expert,LOOK-no-LA,1000,511,489,0,51.1,3.1,67.8,2.127
GA-Original,LOOK,1000,479,521,0,47.9,3.1,71.1,2.236
GA-Original,LOOK-A3-simple-stack,1000,499,501,0,49.9,3.1,70.0,2.262
GA-Original,LOOK-my-eval,1000,635,365,0,63.5,3.0,69.4,2.128
GA-Original,LOOK-no-LA,1000,527,473,0,52.7,3.1,70.3,2.066
LOOK,LOOK-A3-simple-stack,1000,503,497,0,50.3,3.1,74.4,0.456
LOOK,LOOK-my-eval,1000,642,358,0,64.2,3.0,70.7,0.301
LOOK,LOOK-no-LA,1000,581,419,0,58.1,3.1,72.7,0.261
LOOK-A3-simple-stack,LOOK-my-eval,1000,644,356,0,64.4,3.0,67.2,0.331
LOOK-A3-simple-stack,LOOK-no-LA,1000,574,426,0,57.4,3.1,72.2,0.288
LOOK-my-eval,LOOK-no-LA,1000,422,578,0,42.2,3.1,69.4,0.142
