agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,600,293,307,0,48.8,4.0,65.2,4.007
GA-Expert,LOOK,600,303,297,0,50.5,4.0,69.9,2.384
GA-Expert,LOOK-A3-simple-stack,600,282,318,0,47.0,4.0,68.3,2.379
GA-Expert,LOOK-my-eval,600,387,213,0,64.5,3.8,67.1,2.227
GA-Expert,LOOK-no-LA,600,319,281,0,53.2,4.0,68.8,2.232
GA-Original,LOOK,600,282,318,0,47.0,4.0,72.4,2.275
GA-Original,LOOK-A3-simple-stack,600,312,288,0,52.0,4.0,70.5,2.311
GA-Original,LOOK-my-eval,600,368,232,0,61.3,3.9,68.2,2.133
GA-Original,LOOK-no-LA,600,300,300,0,50.0,4.0,69.9,1.988
LOOK,LOOK-A3-simple-stack,600,287,313,0,47.8,4.0,73.8,0.447
LOOK,LOOK-my-eval,600,394,206,0,65.7,3.8,71.8,0.302
LOOK,LOOK-no-LA,600,344,256,0,57.3,4.0,74.1,0.264
LOOK-A3-simple-stack,LOOK-my-eval,600,403,197,0,67.2,3.8,67.9,0.31
LOOK-A3-simple-stack,LOOK-no-LA,600,354,246,0,59.0,3.9,70.8,0.303
LOOK-my-eval,LOOK-no-LA,600,236,364,0,39.3,3.9,69.1,0.158
