agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,600,297,303,0,49.5,4.0,80.3,4.377
GA-Expert,LOOK,600,300,300,0,50.0,4.0,85.2,3.572
GA-Expert,LOOK-A3-simple-stack,600,254,346,0,42.3,4.0,84.5,3.723
GA-Expert,LOOK-my-eval,600,406,194,0,67.7,3.7,77.3,3.054
GA-Expert,LOOK-no-LA,600,315,285,0,52.5,4.0,85.1,2.482
GA-Original,LOOK,600,289,311,0,48.2,4.0,92.3,3.593
GA-Original,LOOK-A3-simple-stack,600,295,305,0,49.2,4.0,87.4,3.469
GA-Original,LOOK-my-eval,600,395,205,0,65.8,3.8,83.6,3.097
GA-Original,LOOK-no-LA,600,310,290,0,51.7,4.0,88.3,2.182
LOOK,LOOK-A3-simple-stack,600,273,327,0,45.5,4.0,95.6,1.109
LOOK,LOOK-my-eval,600,409,191,0,68.2,3.7,84.6,0.591
LOOK,LOOK-no-LA,600,357,243,0,59.5,3.9,95.3,0.568
LOOK-A3-simple-stack,LOOK-my-eval,600,434,166,0,72.3,3.6,83.4,0.703
LOOK-A3-simple-stack,LOOK-no-LA,600,362,237,1,60.3,3.9,92.1,0.65
LOOK-my-eval,LOOK-no-LA,600,222,378,0,37.0,3.9,86.2,0.25
