agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,600,301,299,0,50.2,4.0,103.9,4.55
GA-Expert,LOOK,600,272,328,0,45.3,4.0,107.0,4.214
GA-Expert,LOOK-A3-simple-stack,600,268,332,0,44.7,4.0,105.6,5.42
GA-Expert,LOOK-my-eval,600,407,193,0,67.8,3.7,96.8,3.081
GA-Expert,LOOK-no-LA,600,317,282,1,52.8,4.0,101.5,2.442
GA-Original,LOOK,600,255,345,0,42.5,4.0,113.2,5.404
GA-Original,LOOK-A3-simple-stack,600,239,361,0,39.8,3.9,110.9,5.439
GA-Original,LOOK-my-eval,600,431,169,0,71.8,3.6,98.6,3.235
GA-Original,LOOK-no-LA,600,329,270,1,54.8,4.0,108.5,2.318
LOOK,LOOK-A3-simple-stack,600,277,322,1,46.2,4.0,117.6,2.315
LOOK,LOOK-my-eval,600,440,160,0,73.3,3.5,101.3,1.168
LOOK,LOOK-no-LA,600,372,227,1,62.0,3.9,120.1,1.087
LOOK-A3-simple-stack,LOOK-my-eval,600,450,150,0,75.0,3.5,100.2,1.345
LOOK-A3-simple-stack,LOOK-no-LA,600,378,222,0,63.0,3.9,111.4,1.467
LOOK-my-eval,LOOK-no-LA,600,208,392,0,34.7,3.8,104.0,0.386
